,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
304,Piso en venta en Calle del Rouco,Zona Praza de Barcelos (Pontevedra Capital),355000,107,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Central,0,0,1
305,"Piso en venta en Calle de Redomeira, cerca de Calle Aragón",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),95000,75,3.0,1.0,Planta: 3ª,En buen estado,30.00 euros.,0,0,0,"Si, sin especificar",0,0,0
306,Piso en venta en Rúa Lamazáns,Ponteareas,90820,93,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Eléctrica,1,0,0
307,Piso en venta en Calle Calle Ernestina Otero Sestelo,Zona Praza de Barcelos (Pontevedra Capital),179000,95,2.0,1.0,Planta: 2ª,A estrenar,0,0,0,0,No tiene,0,1,0
308,Piso en venta en Calle de Pedro Alvarado,Teis (Vigo),150000,41,1.0,,,En buen estado,0,0,0,0,Gas natural,1,0,0
309,Piso en venta en Travesía del Pumariño,Marín,110000,112,5.0,2.0,,En buen estado,Entre 20 y 40€,0,0,0,No tiene,0,0,0
310,Piso en venta en Salvaterra de Miño,Salvaterra de Miño,120000,120,3.0,2.0,,En buen estado,0,1,0,1,Central,0,1,0
311,Piso en venta en Calle de Gerona,Praza da Independencia (Distrito Casco Urbano. Vigo),380000,152,4.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
312,Piso en venta en Calle de la Gaviota,Casablanca-Calvario (Distrito Casco Urbano. Vigo),170000,110,2.0,1.0,Planta: 5ª,En buen estado,75 €,1,1,1,Gas natural,1,0,0
313,Piso en venta en Calle de Menéndez Pelayo,Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),165000,67,2.0,1.0,Planta: 1ª,En buen estado,"110.00 euros. agua fria, caliente, calefacción",1,1,1,Gasóleo colectivo,0,0,0
